Afghanistan|Kabul,Herat
Algeria|Algiers,Ouled Djellal,Skikda,Annaba,Mascara,Oran
Andorra|Andorra La Vella,Escaldes
Angola|Sumbe,Luanda,Lubango,Luanda,Benguela
Antarctica|Molodesjnaja,McMurdo Station,Reading
Antigua and Barbuda|Falmouth,Saint Johns
Argentina|San Miguel de Tucuman,Mendoza,Pinamar,Jose Leon Suarez,Mar del Plata,Caseros,Neuquen,Ramos Mejia,Puerto Madryn,Concordia,Corrientes,Santa Fe,Santiago del Estero,Ushuaia,Cordoba,San Martin,Reconquista ,San Juan,Lomas De Zamora,La Plata,Rosario,Paso de los Libres,Salta,Haedo,Chacabuco,Berazategui,Buenos Aires,General Roca,Tres Arroyos,Bahia Blanca,Castelar,Ezeiza,Ceres,Trelew,Suardi,Cipolletti,Crespo,San Rafael,Salto,Rio Cuarto,Santa Rosa,San Isidro,Gualeguaychu,Rio Tercero,Turdera,Miramar,Bariloche
Armenia|Spitak,Vanadzor,Gyumri,Yerevan
Australia|Cheltenham,Harvey,Cunnamulla,Liverpool,Penguin,Wee Jasper,Claremont,Oodnadatta,Sydney,Deer Park,Mildura,Portland,Bayswater,Newcastle,West Wyalong,Sale,Mudgee,Southport,Springwood,Tweed Heads,Carnarvon,Woronora Heights,Albany,Hurstbridge,Red Cliffs,Queanbeyan,Bundaberg,Fremantle,Wauchope,Kalgoorlie,Broome,AOL,Castlemaine,Campbelltown,Blacktown,Williamstown,Port Hedland,Katoomba ,Cootamundra,Reynella,Kempsey,Dural,Wodonga,Cessnock,Wynyard,Pyrmont,Launceston,Sorrento,Strahan,Mackay,Caloundra,Campbell Town,Charleville,Bathurst,Birdsville,Sutherland,Townsville,Echuca,Perth,Loxton,Hurstville,Dandenong,Prahran,Hobart,Chelsea,Bombala,Cape Otway,Yorketown,Nelson Bay,Melbourne,Parramatta,Inverell,Boolarra,Goondiwindi,Wollongong,Bondi,Gold Coast,Gladstone,Murwillumbah,Wangaratta,Noosa,Goulburn,Albury,Lightning Ridge,Lithgow,Bacchus Marsh,Windorah,Shepparton,Tingha,Narre Warren,Coffs Harbour,Griffith,George Town,Penrith,Maitland,Hawthorn,Morwell,Oberon,Rockhampton,York,Roma,Wilsons Promontory,Preston,Maroochydore,Woomera,Blue Mountain,Maleny,Ascot Vale,Narrabri,Mandurah,Katherine,Boulia,Armadale,Yass,Maryborough,Longreach,Croydon,Rockingham,Rosebery,Richmond,Torquay,Redcliffe,Cairns,Richmond,Camden,Kingaroy,Bairnsdale,Port Macquarie,Mount Gambier,Bendigo,Geelong,Newstead,Bowen,Bega,Ballarat,Lake Haven,Bowral,Dubbo,Broken Hill,Brisbane,Beachport,Padstow,Armidale,Grafton,Burwood,Cobar,Manjimup,Burnie,South Yarra,Cooktown,Darwin,Fairlight,Zeehan,Byron Bay,Mornington,Berwick,Mona Vale,Frankston,Ipswich,Devonport,Lismore,Cooma,Cobram,Noble Park,Orange,Sunshine,Whyalla,Sunbury,Bourke,Swan Hill,Bankstown,Warrnambool,Dongara,Toowoomba,Caboolture,Ulladulla,Ballina,Horsham,Millicent,Geraldton,Ingham,Windsor,Maryborough,Traralgon,Moe,Elizabeth,Burpengary,Bunbury,Eltham,Tennant Creek,Mungindi,Diamond Creek,Emerald,Shark Bay,Batemans Bay,Wagga Wagga,Nunawading,Young,Wyong,Mount Isa,Adelaide,Lidcombe,Gosford,Alice Springs,Murray Bridge,Mooroolbark,Nowra,Bright,Hamilton,Srtoud,Nambour,Glenorchy,Tamworth,Brighton,Canberra,Warringa,Manly,Exmouth,Gympie
Austria|Hohenems,Jochberg,Salzburg,Eisenstadt,Leoben,Korneuburg,Wels,Bad Hall,Bodensdorf,Rosental,Steyr,Stegersbach,Neulengbach,Zirl,Pinkafeld,Wiener Neustadt,Grafenbach,Tamsweg,Dornbirn,Linz,Innsbruck,Kitzbuhel,Retz,Lilienfeld,Wien,Baden,Vienna,Abtenau,Feldkirchen,Graz,Klagenfurt,Reutte,Solden,Villach,Zwettl ,Ebreichsdorf,Kindberg,Bregenz,Wieselburg,Hagenberg,Sankt Johann im Pongau,Zell am See
The Bahamas|Colonel Hill,Nassau City,Cockburn Town,Matthew Town,Nassau,Rock Sound,Sandy Point,Georgetown,Behring Point,Freeport,San Andros,Freetown,Old Bight,Port Nelson,Snug Corner,Marsh Harbour,Fresh Creek
Bahrain|Al Manamah,Manama,Jasra,Awali,Muharraq,Isa Town,Ar Rifa
Bangladesh|Comilla,Rajshahi,Saginaw,Khulna,Dhaka
Barbados|Bridgetown,Warrens,Speightstown,Christchurch
Belarus|Minsk,Mahilyow,Minsk,Brest,Molodechno
Belgium|Aarschot,Mortsel,Ninove,Belsele,Merelbeke,Oudenaarde,Frameries,Middelkerke,Keerbergen,Arlon,Gavere,Mons,Tongeren,Soignies,Geel,Kortrijk,Lanaken,Antwerp,Leuven,Meulebeke,Ciney,Koningslo,Westmalle,Aalst,Hasselt,Binche,Hennuyeres,Dendermonde,Holland,Berlaar,Charleroi,Lochristi,Gentbrugge,Pittem,Genk,Rhisnes,Mechelen,Lokeren,Halanzy,Landen,Maldegem,Vilvoorde,Namur,Ostend,Waregem,Turnhout,Grimbergen,Arendonk,Kinrooi,Liege,Maaseik,Holland,Bornem,Puurs,Brugge,Waterloo,Nivelles,Zottegem,Peer,Herentals,Bree,Gent,Eupen,Lierre,Harelbeke,Jodoigne,Wavre,Genappe,Verviers,Boortmeerbeek,Diest,Izegem,Overijse,Dilsen,Brussels,Malines,Tienen,Huy,Tournai,Dilbeek,Sombreffe,Ottignies,Reet,Veurne,Diksmuide
Belize|Orange Walk,Punta Gorda,Belize City,San Ignacio,Belize,Belmopan
Benin|Cotonou,Natitingou
Bermuda|Saint George,Somerset,Hamilton
Bolivia|Oruro,Corioco,Guayaramerin,Chulumani,Punata,Bermejo,Uyuni,Portachuelo,Potosi,Santa Ana,Yacuiba,Aiquile,Yolosa,Tarija,Lagunillas,Riberalta,San Jose de Chiquitos,Apolo,Chimore,La Paz,Tupiza,Trinidad,Villazon,Santa Rosa del Sara,Cochabamba,San Borja,Santa Cruz,Vinto,Atocha,Mizque,Machacamarca,Puerto Patino,Caracollo,Puerto Villarroel,Sucre,Puerto Grether,Cotoca
Bosnia and Herzegovina|Bijeljina,Mostar,Banja Luka,Gorazde,Brcko,Gradiska,Sarajevo,Tuzla,Livno,Bugojno,Fojnica
Brazil|Pirassununga,Santa Cruz do Sul,Barreiras,Campo Grande,Araraquara,Boa Vista,Barra do Corda,Montenegro,Sete Lagoas,Bauru,Taquarituba,Nova Lima,Mirassol,Belo Horizonte,Osasco,Garanhuns,Juiz de For a,Pelotas,Uberaba,Itatiba,Fortaleza,Porto Velho,Nepomuceno,Itapetinga,Cascavel,Natal,Bertioga,Itamogi,Curitiba,Porto Nacional,Diadema,Porto Seguro,Praia Grande,Rio Branco,Trancoso,Aracaju,Londrina,Barbacena,Teresina,Rio de Janeiro,Sobral,Guararema,Salvador,Limeira,Porto Alegre,Santos,Campinas,Campina Grande,Passo Fundo,Palmas,Guaratingueta,Santa Cruz,Pirapora,Piracicaba,Sao Miguel dos Campos,Caravelas,Recife,Planaltina,Tremembe,Ibirite,AOL,Volta Redonda,Caxias do Sul,Valinhos,Joinville
Brunei Darussalam|Bandar Seri Begawan,Tutong,Kuala Belait,Jerudong
Bulgaria|Plovdiv,Sofia,Burgas,Varna,Sliven,Kazanlak,Troyan,Ruse,Smolyan,Blagoevgrad,Balchik
Burkina Faso|Yako,Ouahigouya,Bousse
Burma|Yangon,Moulmein
Cambodia|Stung Treng,Battambang,Kampot,Pursat,Kratie,Takeo,Prey Veng,Kandal,Kampong Cham,Phnom Penh,Kampong Thom,Svay Rieng,Siem Reap
Cameroon|Mankon Bamenda,Douala,Limbe,Yaounde
Canada|Edson,Brandon,Calabogie,Dunnville,Halifax,Truro,Aylmer,Peace River,Milton,Ponoka,Crofton,Paris,Carbonear,Hull,Cobble Hill,Valleyfield,Duncan,Webequie,Dalhousie,Tecumseh,Coaldale,Whitecourt,Novar,Tillsonburg,Orleans,olds,La Baie,Whitney,Portage,Amqui,Baltimore,Kensington,Grand Forks,Saint John,Charlottetown,Scarborough,Selkirk,Cambridge Bay,Gatineau,Winchester,Comber,Edmundston,Rothesay,Fort St John,Campbellton,Watson Lake,Yarmouth,Southey,Ohsweken,La Salle,Kananaskis,Brantford,Cranbrook,Sidney,Port Hardy,Southampton,London,Yorkton,New Maryland,Cambridge,Kelowna,Dauphin,Island Lake,Saskatoon,Thamesford,Princeton,Oshawa,Shelburne,Jonquiere,Surrey,Hope,Markham,Saint Stephen,Courtice,Delta,Vancouver,Sauble Beach,Whitby,Florenceville,Nelson,Chicoutimi,Montreal,Bowmanville,Oakville,Stephenville,Alert,Comox,Snag,Prince George,Lively,Slocan,Minnedosa,Nanticoke,Macamic,Morinville,Melville,Nepean,Schomberg,Chatham,Black Creek,Beaumont,Winnipeg,Altona,Staples,Gibsons,Enderby,Uxbridge,Kentville,Dunrobin,Carmacks,Saint Jean sur Richelieu,North Vancouver,Riverview,Rankin Inlet,Markstay,Banff,Seven Sister Falls  ,Newmarket,New Glasgow,Ottawa,Espanola,Richibucto,Prince Rupert,Thompson,Courtenay,Whitehorse,Powell River,Mattawa,Dartmouth,North Bay,Flin Flon,Bracebridge,Woodbridge,Beausejour,Port Elgin,Blenheim,Pierreville,Lumby,Tahsis,Collingwood,Richmond,Odanak,Sooke,Bathurst,Burnaby,Toronto,Ross River,Bradford,Victoriaville,Mission,Kemptville,Gananoque,Brussels,Alida,Port Moody,Waterloo,Winkler,Sherbrooke,Sarnia,Wawa,Chilliwack,Newcastle,Keswick,Thornhill,Tracy,Deer Lake,Aylmer,Salmon Arm,Guelph,Saint Marys,Candiac,Iroquois Falls,Owen Sound,Sackville,Englehart,Antigonish,Midland,Sioux Lookout,Slave Lake,Quebec,Beaverton,Caledon,Salt Spring Island,Camrose,Vernon,Armstrong,Sorel,Gabriola,Edys Mills,Legal,Heriot Bay,Strathmore,Summerside,Chelmsford,Regina,Greenfield Park,Penticton,Cornwall,Atlin,Keene,The Pas,Valleyview,Georgetown,Coboconk,Lennoxville,High Level,Harrowsmith,Saint Thomas,Antrim,Westport,White River,Port Dover,Prince Albert,Merville,Fort Frances,Campbellford,Port Alberni,Spruce Grove,Vankleek Hill,Amherst,Portuguese Cove,Weyburn,Casselman,Lethbridge,Killarney,Churchill,Kingston,Glace Bay,Trenton,Grand Bend,Trail ,Cobourg,Barrhead,Chetwynd,Waterford,Merritt,Moncton,Beaverlodge,Brossard,Perth,Matane,Kincardine,Aldergrove,Lancaster,Winona,Valley East,Golden,Plumas,Busby,Parry Sound,Port Colborne,Bagotville,Oliver,New Westminster,Leamington,Grande Prairie,Yamaska,Grunthal,Sydney,La Sarre,Petrolia,Prevost,Kitchener,Nestor Falls,Haliburton,Osoyoos ,Medicine Hat,Beaver Creek,Chatham,Niagara Falls,Victoria,Simcoe,Burlington,Swift Current,Thetford Mines,Exeter,Carcross,Georgina,La Tuque,White Rock,Caronport,Wallaceburg,Humboldt,Fox Creek,Pierrefonds,Hinton,Cumberland,Chibougamau,Sussex,Timmins,Prescott,Hamilton,Montmagny,Brockville,Port Stanley,Saint Paul,Chateauguay,Dawson City,Buckingham,Bancroft,Old Crow,Carleton Place,Saint Albert,Coronation,Verdun,Terrace,Digby,Grimshaw,Alliston,Eganville,Lloydminster,Shawinigan,Dolbeau,Rexdale,Yellowknife,Revelstoke,Upsula,North York,Bellefeuille,Entrelacs,Delta,Dundalk,Moosonee,Fort Nelson,Bedford,New Minas,Tiverton,Maniwaki,Gander,Huntsville,Fort Smith,Cobalt,Labrador City,Neilburg,Pilot Mound,Lindsay,Coquitlam,North Delta,Petitcodiac,Ajax,Mount Pearl,Wolfville,Creston,Faro,Langley,Elora,Powassan,Williams Lake,Crowsnest Pass,Summerland,Red Deer,Acton Vale,Kapuskasing,Jasper,Lower Sackville,Temiscaming,Arnprior,Orangeville,New Liskeard,Kirkland Lake,Wainwright,Ormstown,Cold Lake,Ingonish,Calgary,Iqaluit,Shearwater,Laval,Aurora,North Battleford,Ingersoll,Stettler,Inuvik,Oromocto,Boucherville,Orillia,Vaughan,Winfield,Thunder Bay,Fergus,Castlegar,Smiths Falls,Welland,Okanagan Falls,Woodstock,Goose Bay,Saanichton,Dryden,Kitimat,Airdrie,Shannonville,Thorold,Cantley,Leader,Shawnigan Lake,Havelock,Teslin,Miramichi,Hall Beach,Stouffville,Longueuil,Port Perry,Parksville,Mayo,Lacombe,Richmond Hill,Listowel,Moose Jaw,Hay River,Nanaimo,Granby,Madoc,Hawkesbury,Cochrane,Dawson Creek,Brampton,Rocky Mountain House,Steinbach,Becancour,Squamish,Campbell River,La Pocatiere,Brownlee,Chesley,Masson,Quesnel,Deseronto,Fort Macleod,La Crete,Fernie,Barrie,Belleville,Grimsby,Mississauga,Cowansville,Quispamsis,Kanata,Fort McMurray,Windsor,Bridgewater,Ethel,Drayton Valley,Wabush,Marathon,Stirling,Hearst,Dorchester,Fort Chipeyan,Qualicum Beach,Stewart,Corner Brook,Pembroke,Sturgeon Falls,Iberville,South River,Deep River,Elliot lake,Paradise,Stratford,Leduc,Stoney Creek,Baie Du Febvre,Sherwood Park,Pickering,Tobermory,Wakefield,Lachine,Terrebonne,Kamloops,Smithers,Abbotsford,Peterborough,Etobicoke,Maple Ridge,Parkhill,Kenora,Standard,Port Hawksbury,Dorset,Fredericton,Kuujjuaq,Goderich,Lac La Biche,Rimouski,New Waterford,Kingsville,Cardston,Picton,Sudbury,Gloucester,Renfrew,Waterdown,Norquay,Edmonton,Estevan,Brighton,Fort Saskatchewan,Ganges,Wasaga Beach,Port Hope,Joliette,Thamesville,Burwash,Durham
Cape Verde|Praia,Mindelo
Chile|San Vicente De Tagua Tagua,Valparaiso,La Cisterna,Ovalle,Victoria,Chillan,Vitacura,Quilpue,Pena Blanca,Penalolen,Renca,Temuco,Penco,La Granja,Coquimbo,Puerto Williams,Santiago,Puente Alto,San Ramon,San Bernardo,Conchali,La Reina,Graneros,Quilicura,Estacion Central,Arica,San Fernando,Corral,Recreo,San Pedro,Quinta Normal,Recoleta,Maipu,Curico,La Serena,Macul,San Vicente,Punta Arenas,Providencia,Isla De Maipo,Copiapo,Pucon,Puerto Varas,Cerrillos,Buin,Cauquenes,Vallenar,Chiguayante,El Bosque,Rancagua,Huachipato,El Palqui,Concepcion,La Florida,San Joaquin,Iquique,Renaca,La Dehesa,Nunoa,San Miguel,Las Condes,Valdivia,El Arrayan,Antofagasta,Talca,Lo Espejo
